closed_ts,pnl,reason
1626393600000,5.4055,tp
1626480000000,-7.5324,sl
1626825600000,-15.5300,sl
1627084800000,-6.4980,sl
1627257600000,-6.1591,sl
1627430400000,3.6298,tp
1627776000000,-8.8362,sl
1627862400000,4.7478,tp
1628121600000,6.5009,tp
1628380800000,-8.9516,sl
1628553600000,-6.2014,sl
1628812800000,4.2054,tp
1629072000000,-5.9117,sl
1629244800000,9.5513,tp
1629331200000,-8.3457,sl
1629417600000,9.2719,tp
1629504000000,24.7081,tp
1629590400000,-7.3617,sl
1629763200000,6.4231,tp
1630022400000,6.4925,tp
1630108800000,6.2397,tp
1630195200000,-5.8669,sl
1630281600000,5.0755,tp
1630368000000,-13.3540,sl
1630540800000,10.7242,tp
1630627200000,3.9979,tp
1630800000000,-7.1193,sl
1630972800000,22.8414,tp
1631059200000,-15.2098,sl
1631232000000,10.7842,tp
1631491200000,-8.2430,sl
1631577600000,-14.3493,sl
1631664000000,3.2717,tp
1631750400000,6.5950,tp
1632009600000,9.3272,tp
1632182400000,6.4654,tp
1632268800000,15.5884,tp
1632355200000,11.0273,tp
1632441600000,-5.6164,sl
1632528000000,-5.4007,sl
1632614400000,-12.9936,sl
1632873600000,-5.7387,sl
1633046400000,3.1812,tp
1633132800000,4.3436,tp
1633305600000,-7.6305,sl
1633478400000,-11.5961,sl
1633564800000,3.9132,tp
1633651200000,-8.1207,sl
1633737600000,3.0908,tp
1633824000000,3.5423,tp
1634083200000,3.9071,tp
1634169600000,-8.1481,sl
1634256000000,4.6720,tp
1634515200000,3.7522,tp
1634688000000,-6.3040,sl
1634860800000,-13.4724,sl
1634947200000,3.9175,tp
1635206400000,-5.3069,sl
1635379200000,-8.3114,sl
1635552000000,-6.0670,sl
1636416000000,5.9970,tp
1636761600000,6.2694,tp
1637193600000,6.4180,tp
1637280000000,8.2626,tp
1637366400000,4.4279,tp
1637452800000,17.4347,tp
1637625600000,-5.2111,sl
1637712000000,11.4862,tp
1637798400000,10.2172,tp
