symbol,side,opened_dt,closed_dt,days,entry,exit,reason,pnl
AVAX,LONG,2021-09-15,2021-10-10,25,51.491,60.725,ema_cross,12.492240430366474
ZEC,SHORT,2021-10-04,2021-10-10,6,118.82,127.7,ema_cross,-5.28953509510184
ZEC,LONG,2021-10-25,2021-10-27,2,173.08,142.339351270666,cat_stop,-10.0
NEAR,LONG,2021-10-27,2021-11-16,20,12.3278,9.293935822583723,cat_stop,-10.0
XLM,LONG,2021-10-27,2021-11-17,21,0.37339,0.34301,ema_cross,-5.749107367631702
BNB,LONG,2021-11-09,2021-11-17,8,653.54,554.6200261893775,cat_stop,-10.0
BTC,LONG,2021-10-10,2021-11-19,40,54960.79,56921.04,ema_cross,2.4396448588166217
ZEC,LONG,2021-10-28,2021-11-20,23,147.31,158.93,ema_cross,5.463480279682305
AVAX,LONG,2021-11-24,2021-12-04,10,123.937,85.72467229985031,cat_stop,-10.0
ZEC,LONG,2021-11-25,2021-12-04,9,261.03,185.06551801930348,cat_stop,-10.0
UNI,SHORT,2021-11-30,2021-12-27,27,20.262,18.663,ema_cross,5.470343500148061
LINK,SHORT,2021-12-05,2021-12-27,22,20.637,22.986,ema_cross,-8.026914958569561
ADA,SHORT,2021-11-28,2021-12-28,30,1.5441,1.5158,ema_cross,1.2274611747943782
DOGE,SHORT,2021-12-05,2021-12-28,23,0.17814,0.18786,ema_cross,-3.8769956214213566
NEAR,LONG,2021-12-28,2022-01-23,26,14.7545,11.395,ema_cross,-10.0
BTC,SHORT,2021-12-29,2022-02-07,40,47522.02,42361.34,ema_cross,7.5487293242164375
ETH,SHORT,2022-01-24,2022-02-07,14,2538.4,3054.26,ema_cross,-10.0
TRX,SHORT,2021-12-29,2022-02-08,41,0.07706,0.0685,ema_cross,7.722869452374771
XLM,SHORT,2022-02-08,2022-02-09,1,0.23939,0.24206,ema_cross,-0.8370466602614998
BCH,SHORT,2021-12-28,2022-02-10,44,465.5,345.8,ema_cross,17.951199999999996
BNB,SHORT,2022-02-08,2022-02-16,8,433.14,432.09,ema_cross,0.11375896938634342
SOL,SHORT,2022-02-09,2022-03-23,42,113.36,90.44,ema_cross,14.102801693719126
FIL,SHORT,2021-11-25,2022-03-25,120,50.646,19.599,ema_cross,42.87254946096434
TRX,LONG,2022-04-01,2022-04-06,5,0.07394,0.06437873481211132,cat_stop,-9.104158611400424
ZEC,LONG,2022-03-25,2022-04-09,15,192.85,165.58,ema_cross,-9.950407259528124
BCH,LONG,2022-03-29,2022-04-09,11,368.09,322.91,ema_cross,-8.644483686055032
XLM,LONG,2022-04-01,2022-04-10,9,0.22842,0.20476,ema_cross,-7.303778303125825
