opened,closed,n_legs,pnl,reason
1707451200000,1707980400000,3,3.0308,tp
1707984000000,1708981200000,3,3.3702,tp
1708984800000,1709128800000,3,3.9854,tp
1709132400000,1709830800000,3,3.2678,tp
1709834400000,1709942400000,3,3.0551,tp
1709946000000,1710061200000,3,3.3398,tp
1710064800000,1710313200000,3,3.2889,tp
1710316800000,1710334800000,3,3.3115,tp
1710338400000,1710370800000,3,3.1131,tp
1710374400000,1711584000000,3,-6.2541,timeout
1711587600000,1712797200000,3,1.8969,timeout
1712800800000,1714010400000,3,0.4273,timeout
1714014000000,1715223600000,3,-0.3663,timeout
1715227200000,1716436800000,3,-2.3058,timeout
1716440400000,1717513200000,3,3.9059,tp
1717516800000,1717552800000,3,3.2580,tp
1717556400000,1718766000000,3,-7.8493,timeout
1718769600000,1719979200000,3,-2.9673,timeout
1719982800000,1721178000000,3,3.1353,tp
1721181600000,1721599200000,3,3.0152,tp
1721602800000,1722088800000,3,3.0542,tp
1722092400000,1723302000000,3,-9.4568,timeout
1723305600000,1724115600000,3,3.9188,tp
1724119200000,1724450400000,3,3.4124,tp
1724454000000,1725663600000,3,-8.2476,timeout
1725667200000,1725912000000,3,3.3330,tp
1725915600000,1726135200000,3,3.0022,tp
1726138800000,1726700400000,3,3.1027,tp
1726704000000,1727913600000,3,-2.3131,timeout
1727917200000,1728399600000,3,3.1039,tp
1728403200000,1729612800000,3,1.2782,timeout
1729616400000,1730120400000,3,3.1922,tp
1730124000000,1731333600000,3,1.3083,timeout
1731337200000,1731369600000,3,3.8466,tp
1731373200000,1731571200000,3,3.3357,tp
1731574800000,1732348800000,3,3.3777,tp
1732352400000,1733562000000,3,-4.3081,timeout
1733565600000,1734447600000,3,3.1164,tp
1734451200000,1735660800000,3,0.0312,timeout
1735664400000,1736874000000,3,2.4483,timeout
1736877600000,1737144000000,3,3.0621,tp
1737147600000,1738357200000,3,-2.0819,timeout
1738360800000,1739570400000,3,-3.7132,timeout
1739574000000,1740783600000,3,-2.7989,timeout
1740787200000,1740873600000,3,3.0360,tp
1740877200000,1741834800000,3,3.0094,tp
1741838400000,1742180400000,3,3.1948,tp
1742184000000,1743393600000,3,-0.5917,timeout
1743397200000,1744218000000,3,3.1949,tp
1744221600000,1744394400000,3,3.0735,tp
1744398000000,1745283600000,3,3.0500,tp
1745287200000,1746496800000,3,-3.9671,timeout
1746500400000,1747710000000,3,0.4779,timeout
1747713600000,1747854000000,3,3.2392,tp
1747857600000,1749067200000,3,-4.2910,timeout
1749070800000,1750280400000,3,-0.0345,timeout
1750284000000,1750852800000,3,3.0495,tp
1750856400000,1752066000000,3,-2.7101,timeout
1752069600000,1753110000000,3,3.1442,tp
1753113600000,1753232400000,3,3.1433,tp
1753236000000,1754445600000,3,-3.3423,timeout
1754449200000,1755658800000,3,-4.8256,timeout
1755662400000,1756872000000,3,-2.6561,timeout
1756875600000,1757512800000,3,3.2735,tp
1757516400000,1758150000000,3,3.8189,tp
1758153600000,1758405600000,3,3.2335,tp
1758409200000,1759410000000,3,3.3889,tp
1759413600000,1759500000000,3,3.5176,tp
1759503600000,1759734000000,3,3.2222,tp
1759737600000,1759838400000,3,3.1644,tp
1759842000000,1761051600000,3,-7.4013,timeout
1761055200000,1761235200000,3,3.1415,tp
1761238800000,1762448400000,3,-6.1478,timeout
1762452000000,1763661600000,3,-3.2887,timeout
1763665200000,1764874800000,3,-1.1794,timeout
1764878400000,1766088000000,3,-3.1202,timeout
1766091600000,1767301200000,3,0.7676,timeout
1767304800000,1768330800000,3,3.7836,tp
1768334400000,1769544000000,3,-2.1777,timeout
1769547600000,1770757200000,3,-3.3287,timeout
1770760800000,1771970400000,3,-2.1891,timeout
1771974000000,1772463600000,3,3.1843,tp
1772467200000,1773676800000,3,-0.6926,timeout
1773680400000,1774890000000,3,-3.7631,timeout
1774893600000,1776103200000,3,-1.3181,timeout
1776106800000,1776762000000,3,3.1640,tp
1776765600000,1777975200000,3,0.9331,timeout
1777978800000,1778428800000,3,3.0594,tp
1778432400000,1778806800000,3,3.2139,tp
