base,kind,rows,file
HIGH,funding,3661,data/funding/HIGH_USDT_funding.csv
RENDER,1d,682,data/RENDER_USDT_1d.csv
RENDER,1h,16344,data/RENDER_USDT_1h.csv
RENDER,funding,4086,data/funding/RENDER_USDT_funding.csv
GUN,1d,434,data/GUN_USDT_1d.csv
GUN,1h,10389,data/GUN_USDT_1h.csv
GUN,funding,2597,data/funding/GUN_USDT_funding.csv
龙虾,1d,89,data/龙虾_USDT_1d.csv
龙虾,1h,2111,data/龙虾_USDT_1h.csv
龙虾,funding,528,data/funding/龙虾_USDT_funding.csv
WIF,1d,872,data/WIF_USDT_1d.csv
WIF,1h,20900,data/WIF_USDT_1h.csv
WIF,funding,5225,data/funding/WIF_USDT_funding.csv
NVDA,1d,74,data/NVDA_USDT_1d.csv
NVDA,1h,1748,data/NVDA_USDT_1h.csv
NVDA,funding,232,data/funding/NVDA_USDT_funding.csv
DRAM,1d,21,data/DRAM_USDT_1d.csv
DRAM,1h,476,data/DRAM_USDT_1h.csv
DRAM,funding,61,data/funding/DRAM_USDT_funding.csv
SKHYNIX,1d,6,data/SKHYNIX_USDT_1d.csv
SKHYNIX,1h,127,data/SKHYNIX_USDT_1h.csv
SKHYNIX,funding,16,data/funding/SKHYNIX_USDT_funding.csv
CHZ,1d,1964,data/CHZ_USDT_1d.csv
CHZ,1h,47115,data/CHZ_USDT_1h.csv
CHZ,funding,5962,data/funding/CHZ_USDT_funding.csv
ETC,1d,2335,data/ETC_USDT_1d.csv
ETC,1h,56018,data/ETC_USDT_1h.csv
ETC,funding,7003,data/funding/ETC_USDT_funding.csv
GIGGLE,1d,242,data/GIGGLE_USDT_1d.csv
GIGGLE,1h,5785,data/GIGGLE_USDT_1h.csv
GIGGLE,funding,1446,data/funding/GIGGLE_USDT_funding.csv
EWY,1d,84,data/EWY_USDT_1d.csv
EWY,1h,1989,data/EWY_USDT_1h.csv
EWY,funding,259,data/funding/EWY_USDT_funding.csv
WLFI,1d,289,data/WLFI_USDT_1d.csv
WLFI,1h,6914,data/WLFI_USDT_1h.csv
WLFI,funding,1728,data/funding/WLFI_USDT_funding.csv
TIA,1d,951,data/TIA_USDT_1d.csv
TIA,1h,22792,data/TIA_USDT_1h.csv
TIA,funding,5698,data/funding/TIA_USDT_funding.csv
MSTR,1h,2828,data/MSTR_USDT_1h.csv
MSTR,funding,363,data/funding/MSTR_USDT_funding.csv
UB,1h,6432,data/UB_USDT_1h.csv
UB,funding,1608,data/funding/UB_USDT_funding.csv
1000LUNC,1d,1368,data/1000LUNC_USDT_1d.csv
1000LUNC,1h,32805,data/1000LUNC_USDT_1h.csv
1000LUNC,funding,4101,data/funding/1000LUNC_USDT_funding.csv
SEI,1d,1026,data/SEI_USDT_1d.csv
SEI,1h,24608,data/SEI_USDT_1h.csv
SEI,funding,3078,data/funding/SEI_USDT_funding.csv
GUA,1h,4032,data/GUA_USDT_1h.csv
GUA,funding,1063,data/funding/GUA_USDT_funding.csv
ESPORTS,1h,7512,data/ESPORTS_USDT_1h.csv
ESPORTS,funding,1878,data/funding/ESPORTS_USDT_funding.csv
MAGMA,1d,159,data/MAGMA_USDT_1d.csv
MAGMA,1h,3789,data/MAGMA_USDT_1h.csv
MAGMA,funding,947,data/funding/MAGMA_USDT_funding.csv
CRV,1d,2106,data/CRV_USDT_1d.csv
CRV,1h,50523,data/CRV_USDT_1h.csv
CRV,funding,6316,data/funding/CRV_USDT_funding.csv
CC,1d,220,data/CC_USDT_1d.csv
CC,1h,5254,data/CC_USDT_1h.csv
CC,funding,1314,data/funding/CC_USDT_funding.csv
1000BONK,1d,929,data/1000BONK_USDT_1d.csv
1000BONK,1h,22268,data/1000BONK_USDT_1h.csv
1000BONK,funding,5567,data/funding/1000BONK_USDT_funding.csv
HMSTR,1d,620,data/HMSTR_USDT_1d.csv
HMSTR,1h,14854,data/HMSTR_USDT_1h.csv
HMSTR,funding,3713,data/funding/HMSTR_USDT_funding.csv
BILL,1d,32,data/BILL_USDT_1d.csv
BILL,1h,746,data/BILL_USDT_1h.csv
BILL,funding,187,data/funding/BILL_USDT_funding.csv
MEME,1d,948,data/MEME_USDT_1d.csv
MEME,1h,22726,data/MEME_USDT_1h.csv
MEME,funding,5681,data/funding/MEME_USDT_funding.csv
GENIUS,1h,1255,data/GENIUS_USDT_1h.csv
GENIUS,funding,314,data/funding/GENIUS_USDT_funding.csv
TA,1d,322,data/TA_USDT_1d.csv
TA,1h,7708,data/TA_USDT_1h.csv
TA,funding,1927,data/funding/TA_USDT_funding.csv
SLX,1d,7,data/SLX_USDT_1d.csv
SLX,1h,148,data/SLX_USDT_1h.csv
SLX,funding,37,data/funding/SLX_USDT_funding.csv
SAHARA,1d,347,data/SAHARA_USDT_1d.csv
SAHARA,1h,8303,data/SAHARA_USDT_1h.csv
SAHARA,funding,2911,data/funding/SAHARA_USDT_funding.csv
LA,1d,368,data/LA_USDT_1d.csv
LA,1h,8810,data/LA_USDT_1h.csv
LA,funding,3956,data/funding/LA_USDT_funding.csv
PLAY,1d,312,data/PLAY_USDT_1d.csv
PLAY,1h,7466,data/PLAY_USDT_1h.csv
PLAY,funding,1867,data/funding/PLAY_USDT_funding.csv
CHIP,1d,53,data/CHIP_USDT_1d.csv
CHIP,1h,1252,data/CHIP_USDT_1h.csv
CHIP,funding,313,data/funding/CHIP_USDT_funding.csv
NOK,1d,7,data/NOK_USDT_1d.csv
NOK,1h,142,data/NOK_USDT_1h.csv
NOK,funding,19,data/funding/NOK_USDT_funding.csv
BASED,1d,70,data/BASED_USDT_1d.csv
BASED,1h,1657,data/BASED_USDT_1h.csv
BASED,funding,414,data/funding/BASED_USDT_funding.csv
PENDLE,1d,1046,data/PENDLE_USDT_1d.csv
PENDLE,1h,25089,data/PENDLE_USDT_1h.csv
PENDLE,funding,3144,data/funding/PENDLE_USDT_funding.csv
ATOM,1d,2313,data/ATOM_USDT_1d.csv
ATOM,1h,55487,data/ATOM_USDT_1h.csv
ATOM,funding,6939,data/funding/ATOM_USDT_funding.csv
IN,1d,305,data/IN_USDT_1d.csv
IN,1h,7297,data/IN_USDT_1h.csv
IN,funding,1824,data/funding/IN_USDT_funding.csv
RIVER,1d,234,data/RIVER_USDT_1d.csv
RIVER,1h,5589,data/RIVER_USDT_1h.csv
RIVER,funding,2429,data/funding/RIVER_USDT_funding.csv
INTC,1h,2997,data/INTC_USDT_1h.csv
INTC,funding,376,data/funding/INTC_USDT_funding.csv
HOLO,1d,270,data/HOLO_USDT_1d.csv
HOLO,1h,6455,data/HOLO_USDT_1h.csv
HOLO,funding,1615,data/funding/HOLO_USDT_funding.csv
ORDI,1d,944,data/ORDI_USDT_1d.csv
ORDI,1h,22631,data/ORDI_USDT_1h.csv
ORDI,funding,5657,data/funding/ORDI_USDT_funding.csv
ETHFI,1d,812,data/ETHFI_USDT_1d.csv
ETHFI,1h,19460,data/ETHFI_USDT_1h.csv
ETHFI,funding,4865,data/funding/ETHFI_USDT_funding.csv
TSLA,1d,131,data/TSLA_USDT_1d.csv
TSLA,1h,3117,data/TSLA_USDT_1h.csv
TSLA,funding,402,data/funding/TSLA_USDT_funding.csv
XAUT,1d,74,data/XAUT_USDT_1d.csv
XAUT,1h,1749,data/XAUT_USDT_1h.csv
XAUT,funding,437,data/funding/XAUT_USDT_funding.csv
DEXE,1d,531,data/DEXE_USDT_1d.csv
DEXE,1h,12720,data/DEXE_USDT_1h.csv
DEXE,funding,3180,data/funding/DEXE_USDT_funding.csv
AIGENSYN,1h,933,data/AIGENSYN_USDT_1h.csv
AIGENSYN,funding,233,data/funding/AIGENSYN_USDT_funding.csv
ZRO,1d,718,data/ZRO_USDT_1d.csv
ZRO,1h,17205,data/ZRO_USDT_1h.csv
ZRO,funding,4301,data/funding/ZRO_USDT_funding.csv
POL,1d,633,data/POL_USDT_1d.csv
POL,1h,15167,data/POL_USDT_1h.csv
POL,funding,3791,data/funding/POL_USDT_funding.csv
BAS,1d,286,data/BAS_USDT_1d.csv
BAS,1h,6838,data/BAS_USDT_1h.csv
BAS,funding,1709,data/funding/BAS_USDT_funding.csv
LDO,1d,1355,data/LDO_USDT_1d.csv
LDO,1h,32495,data/LDO_USDT_1h.csv
LDO,funding,4063,data/funding/LDO_USDT_funding.csv
KITE,1d,222,data/KITE_USDT_1d.csv
KITE,1h,5305,data/KITE_USDT_1h.csv
KITE,funding,1326,data/funding/KITE_USDT_funding.csv
MON,1d,241,data/MON_USDT_1d.csv
MON,1h,5764,data/MON_USDT_1h.csv
MON,funding,1441,data/funding/MON_USDT_funding.csv
RAVE,1d,176,data/RAVE_USDT_1d.csv
RAVE,1h,4196,data/RAVE_USDT_1h.csv
RAVE,funding,1259,data/funding/RAVE_USDT_funding.csv
AMD,1d,33,data/AMD_USDT_1d.csv
AMD,1h,766,data/AMD_USDT_1h.csv
AMD,funding,97,data/funding/AMD_USDT_funding.csv
NXPC,1d,389,data/NXPC_USDT_1d.csv
NXPC,1h,9317,data/NXPC_USDT_1h.csv
NXPC,funding,2329,data/funding/NXPC_USDT_funding.csv
GALA,1d,1724,data/GALA_USDT_1d.csv
GALA,1h,41360,data/GALA_USDT_1h.csv
GALA,funding,5172,data/funding/GALA_USDT_funding.csv
C,1d,328,data/C_USDT_1d.csv
C,1h,7850,data/C_USDT_1h.csv
C,funding,2090,data/funding/C_USDT_funding.csv
EDGE,1d,81,data/EDGE_USDT_1d.csv
EDGE,1h,1917,data/EDGE_USDT_1h.csv
EDGE,funding,479,data/funding/EDGE_USDT_funding.csv
BIO,1d,521,data/BIO_USDT_1d.csv
BIO,1h,12479,data/BIO_USDT_1h.csv
BIO,funding,3931,data/funding/BIO_USDT_funding.csv
SPY,1d,63,data/SPY_USDT_1d.csv
SPY,1h,1486,data/SPY_USDT_1h.csv
SPY,funding,196,data/funding/SPY_USDT_funding.csv
FTT,1d,1515,data/FTT_USDT_1d.csv
FTT,1h,36344,data/FTT_USDT_1h.csv
FTT,funding,3522,data/funding/FTT_USDT_funding.csv
RAY,1d,1753,data/RAY_USDT_1d.csv
RAY,1h,42056,data/RAY_USDT_1h.csv
RAY,funding,4773,data/funding/RAY_USDT_funding.csv
WAVES,1d,2126,data/WAVES_USDT_1d.csv
WAVES,1h,51004,data/WAVES_USDT_1h.csv
WAVES,funding,5317,data/funding/WAVES_USDT_funding.csv
CVC,1d,388,data/CVC_USDT_1d.csv
CVC,1h,9291,data/CVC_USDT_1h.csv
CVC,funding,7806,data/funding/CVC_USDT_funding.csv
